dur,spkts,dpkts,sbytes,dbytes,rate,sttl,dttl,sload,dload,sloss,dloss,sinpkt,dinpkt,sjit,djit,swin,stcpb,dtcpb,dwin,tcprtt,synack,ackdat,smean,dmean,trans_depth,response_body_len,ct_srv_src,ct_state_ttl,ct_dst_ltm,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm,is_ftp_login,ct_ftp_cmd,ct_flw_http_mthd,ct_src_ltm,ct_srv_dst,is_sm_ips_ports
2e-06,2,0,114,0,500000.0013,254,0,228000000.0,0.0,0,0,0.002,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,57,0,0,0,10,2,9,9,9,10,0,0,0,9,10,0
3e-06,2,0,200,0,90909.0902,254,0,72727272.0,0.0,0,0,0.011,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,11,2,5,4,4,5,0,0,0,5,11,0
1.5e-05,2,0,168,0,66666.66835,254,0,44800000.0,0.0,0,0,0.015,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,84,0,0,0,1,2,1,1,1,1,0,0,0,1,1,0
4e-06,2,0,352,0,250000.0006,254,0,352000000.0,0.0,0,0,0.004,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,176,0,0,0,2,2,1,1,1,1,0,0,0,1,1,0
0.007721,30,26,3624,5578,7123.429713,31,29,3630617.75,5557829.5,7,7,0.266241,0.27776,14.862088,16.738467,255,2247767457,98510618,255,0.000772,0.000632,0.00014,121,215,0,0,8,0,3,1,1,1,0,0,0,1,8,0
0.000005,2,0,92,0,200000.0051,254,0,73600000,0,0,0,0.005,0,0,0,0,0,0,0,0,0,0,46,0,0,0,1,2,1,1,1,1,0,0,0,19,1,0
1.171427,4,0,360,0,2.560979,254,0,1843.904907,0,0,0,390.475656,0,552.206063,0,0,0,0,0,0,0,0,90,0,0,0,10,2,10,10,10,10,0,0,0,10,10,0
0.000009,2,0,200,0,111111.1072,254,0,88888888,0,0,0,0.009,0,0,0,0,0,0,0,0,0,0,100,0,0,0,6,2,2,2,2,6,0,0,0,10,6,0
0.921987,20,0,1280,0,20.607666,254,0,10551.125,0,0,0,48.525633,0,52.253805,0,0,0,0,0,0,0,0,64,0,0,0,1,2,1,1,1,2,0,0,0,1,1,0
0.000004,2,0,2114,0,250000.0006,254,0,2114000000,0,0,0,0.004,0,0,0,0,0,0,0,0,0,0,1057,0,0,0,3,2,1,1,1,3,0,0,0,1,3,0
1.096481,12,8,904,1080,17.328162,62,252,6048.44043,6894.784668,2,2,99.680092,142.076281,5280.699006,202.498781,255,4183562806,1802911208,255,0.173225,0.101178,0.072047,75,135,1,138,4,1,3,1,1,3,0,0,1,2,4,0
0.021426,52,40,37274,3276,4247.176387,31,29,13649958.0,1192943.125,18,8,0.413255,0.53518,22.82292,1.160264,255,860901887,3007411367,255,0.000702,0.00055,0.000152,717,82,0,0,18,0,2,1,1,1,0,0,0,4,10,0
5e-06,2,0,180,0,200000.0051,254,0,144000000.0,0.0,0,0,0.005,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,90,0,0,0,4,2,3,4,3,3,0,0,0,5,3,0
1.007653,4,0,360,0,2.977215,254,0,2143.594971,0.0,0,0,335.884344,0.0,474.999437,0.0,0,0,0,0,0.0,0.0,0.0,90,0,0,0,1,2,1,1,1,1,0,0,0,2,1,0
0.675253,10,8,564,354,25.17575,254,252,6018.485352,3672.697754,2,1,75.028111,89.001859,5481.721996,124.375336,255,1782955927,255733498,255,0.098437,0.051577,0.04686,56,44,0,0,1,1,1,1,1,1,0,0,0,1,1,0

